Coding,Description,tag_name,[2003] EWCA Crim 3 (Charis),[2003] EWCA Crim 3 (Vili),[2003] EWCA Crim 2243 (Charis),[2003] EWCA Crim 2243 (Vili),[2004] EWCA Crim 2278 (Charis),[2004] EWCA Crim 2278 (Vili),[2005] EWCA Crim 1983 (Charis),[2005] EWCA Crim 1983 (Vili),[2006] EWCA Crim 694 (Charis),[2006] EWCA Crim 694 (Vili),[2006] EWCA Crim 1155 (Charis),[2006] EWCA Crim 1155 (Vili),[2007] EWCA Crim 1530 (Charis),[2007] EWCA Crim 1530 (Vili),[2008] EWCA Crim 553 (Charis),[2008] EWCA Crim 553 (Vili),[2009] EWCA Crim 1431 (Charis),[2009] EWCA Crim 1431 (Vili),[2010] EWCA Crim 712 (Charis),[2010] EWCA Crim 712 (Vili),[2012] EWCA Crim 720 (Charis),[2012] EWCA Crim 720 (Vili),[2013] EWCA Crim 801 (Charis),[2013] EWCA Crim 801 (Vili),[2013] EWCA Crim 1649 (Charis),[2013] EWCA Crim 1649 (Vili),[2016] EWCA Crim 52 (Charis),[2016] EWCA Crim 52 (Vili),[2017] EWCA Crim 1851 (Charis),[2017] EWCA Crim 1851 (Vili),[2018] EWCA Crim 1766 (Charis),[2018] EWCA Crim 1766 (Vili),[2019] EWCA Crim 362 (Charis),[2019] EWCA Crim 362 (Vili),[2020] EWCA Crim 499 (Charis),[2020] EWCA Crim 499 (Vili),[2022] EWCA Crim 83 (Charis),[2022] EWCA Crim 83 (Vili),[2023] EWCA Crim 231 (Charis),[2023] EWCA Crim 231 (Vili)
VictimType,Individual person/Organisation,VictimType,NA,Don't know,"Exact: private prosecution brought by Mr Hart, a member of the public;

Comment: ",NA,NA,N/A,"Exact: 11 year-old daughter;

Comment: 1 individual female",,"Exact: struck the complainant;

Comment: 1 individual male victim","Exact: The prosecution contended that whilst the complainant had been on the ground the appellant had kicked him in the head. The prosecution case was of a wholly unprovoked attack.;

Comment: Individual person","Exact: Ashley Kenton and Wayne Mowatt were shot dead.;

Comment: 2 individual male victims in Ellis Appeal","Exact: two men, Ashley Kenton and Wayne Mowatt were shot dead;

Comment: Individual persons;

Exact: They included Charlene Ellis, Letisha Shakespeare, Sophie Ellis and Cheryl Shaw. A convoy of vehicles, which included a red Mondeo and a silver Vauxhall, drove to the scene. Shots were fired into the crowd. Sharleen Ellis and Latisha Shakespeare received fatal gunshot wounds. Sophie Ellis and Cheryl Shaw were badly injured. A man called Leon Harris, who was sitting in a car further down the alleyway, was shot at close range by a gunman who had alighted from one of the convoy of vehicles.;

Comment: Individual persons","Exact: Mr Chris Walls, and his partner, Louise Gallagher;

Comment: 2 individual victims 1 male 1 female","Exact: Mr Walls;

Comment: Individual person","Exact: hitting the officer in the face;

Comment: Victim3: 1 individual male police officer;

Exact: his mother's handbag £20;

Comment: Victim2: relative;

Exact: Lynne O'Connell,;

Comment: Victim 1: individual female","Exact: Lynne O'Connell,;

Comment: Individual","Exact: Mr and Mrs Chowdhery.;

Comment: 2 Individual Victims, 1 male, 1 female","Exact: Mr and Mrs Chowdhery;

Comment: Individuals","Exact: L.;

Comment: 1 individual female victim","Exact: young woman called;

Comment: Individual","Exact: SJ, JC and CS.;

Comment: 3 individual male victims","Exact: SJ, JC and CS;

Comment: Individual persons","Exact: Fiza Asif (Arshad's wife).;

Comment: 1 individual victim, relative","Exact: Fiza Asif (Arshad's wife;

Comment: Individual person",Don't know,N/A,"Exact: At that time she was nearly 16,;

Comment: 1 individual female victim","Exact: Karen Price;

Comment: Individual person","Exact: threatened a security guard;

Comment: 1 individual male victim, stranger;

Exact: attacked the shopkeeper;

Comment: 1 individual male victim, stranger","Exact: shopkeeper;

Comment: Individual person;

Exact: post office in Bishops Itchington was robbed by three men;

Comment: Organisation","Exact: seven-year-old daughter;

Comment: Individual person.","Exact: K"" and the victim of the assault by beating was her seven-year-old daughter ""L"";

Comment: Individual persons",NA,N/A,NA,NA,Don't know,N/A,"Exact: Jordan Campbell was the applicant's half-brother.;

Comment: 1 individual victim","Exact: half-brother;

Comment: Individual"
VicNum Number of Victims,Numeric,VicNum,NA,Don't know,NA,NA,NA,N/A,"Exact: 11 year-old daughter;

Comment: 1 individual female","Exact: 11 year-old daughter;

Comment: 1","Exact: struck the complainant;

Comment: 1 individual male victim","Exact: The prosecution contended that whilst the complainant had been on the ground the appellant had kicked him in the head;

Comment: 1","Exact: Sharleen Ellis and Latisha Shakespeare received fatal gunshot wounds. Sophie Ellis and Cheryl Shaw were badly injured.;

Comment: 5 individual victims, 4 females, 1 male, 3 fatalities;

Exact: Ashley Kenton and Wayne Mowatt were shot dead.;

Comment: 2 individual male victims in Ellis Appeal","Exact: Sharleen Ellis and Latisha Shakespeare received fatal gunshot wounds. Sophie Ellis and Cheryl Shaw were badly injured. A man called Leon Harris, who was sitting in a car further down the alleyway, was shot at close range by a gunman who had alighted from one of the convoy of vehicles.;

Comment: 5;

Exact: two men, Ashley Kenton and Wayne Mowatt were shot dead;

Comment: 2","Exact: Mr Chris Walls, and his partner, Louise Gallagher;

Comment: 2 individual victims 1 male 1 female","Exact: Mr Walls was awoken by a number of blows to his head;

Comment: 1","Exact: He had burgled people's houses, stolen and damaged their cars and attacked those who had tried to stop him;

Comment: 3 victims in total;

Exact: his mother's handbag £20;

Comment: Victim2: relative",,"Exact: Mr and Mrs Chowdhery.;

Comment: 2 Individual Victims, 1 male, 1 female","Exact: Mr and Mrs Chowdhery;

Comment: 2","Exact: L.;

Comment: 1 individual female victim",,"Exact: SJ, JC and CS.;

Comment: 3 individual male victims","Exact: SJ, JC and CS;

Comment: 3","Exact: Fiza Asif (Arshad's wife).;

Comment: 1 individual victim, relative","Exact: Fiza Asif (Arshad's wife);

Comment: 1",Don't know,N/A,"Exact: At that time she was nearly 16,;

Comment: 1 individual female victim","Exact: Karen Price;

Comment: 1","Exact: threatened a security guard;

Comment: 1 individual male victim, stranger;

Exact: attacked the shopkeeper;

Comment: 1 individual male victim, stranger","Exact: shopkeeper;

Comment: 1","Exact: ""L"";

Comment: Number of Victims is 2.","Exact: ""K"" and the victim of the assault by beating was her seven-year-old daughter ""L"";

Comment: 2",NA,N/A,NA,NA,Don't know,N/A,"Exact: Jordan Campbell was the applicant's half-brother.;

Comment: 1 individual victim","Exact: Jordan Campbell was the applicant's half-brother;

Comment: 1 victim"
VicSex Victim(s) Gender,All Male/All Female/Male&Female,VicSex,NA,Don't know,NA,NA,NA,N/A,"Exact: 11 year-old daughter;

Comment: 1 individual female","Exact: daughter;

Comment: All female","Exact: struck the complainant;

Comment: 1 individual male victim","Exact: Peter Wheatcroft;

Comment: All Male","Exact: Sharleen Ellis and Latisha Shakespeare received fatal gunshot wounds. Sophie Ellis and Cheryl Shaw were badly injured.;

Comment: 5 individual victims, 4 females, 1 male, 3 fatalities;

Exact: Ashley Kenton and Wayne Mowatt were shot dead.;

Comment: 2 individual male victims in Ellis Appeal","Exact: two men;

Comment: All Male","Exact: Mr Chris Walls, and his partner, Louise Gallagher;

Comment: 2 individual victims 1 male 1 female","Exact: Mr Walls;

Comment: All Male","Exact: hitting the officer in the face;

Comment: Victim3: 1 individual male police officer;

Exact: his mother's handbag £20;

Comment: Victim2: relative;

Exact: Lynne O'Connell,;

Comment: Victim 1: individual female","Exact: 4. We turn to the facts. The facts relating to offence 1 are these. Lynne O'Connell, who ran a business called RSVP from her home, engaged some casual Christmas staff in 2006. This included the appellant, who is a son of a friend of hers. The work entailed being mainly in the outbuilding of her house, but the staff were allowed into the house to use the lavatory and kitchen. On 14 December 2006 the appellant went into an area of the house where he was not permitted to be. He stole £400 in Swiss francs from a little box where they were kept.5. The appellant attended court in respect of this matter on 12 January 2007. However, in the meantime, on 3 January he took from his mother's handbag £20 and the keys to her safe (offence 2). He then took her car keys from the safe, drove the car to a public house, parked it and smashed its window to make it look as if somebody else had taken the car (offence 3). He was also charged with having no licence and no insurance on that occasion (offences 4 and 5). It seems that he has never had a licence of any description. The print-out from the DVLC came back as ""no trace"", despite his having had six penalty points imposed on him in respect of a previous offence of driving without insurance.6. On 8 September 2007 the appellant attempted a burglary at 33 Potter's Crescent, Ash. He did not manage to complete that offence because he was heard damaging the patio doors which he had forced open at the rear (offence 9). He then went into 31 Chester Road, where the door was open as people were coming and going (offence 6). He stole car keys and then took a Ford Focus car (offence 8). A postman saw the appellant behaving oddly. The vehicle was found in the street in a damaged condition. 7. Having left the Ford Focus, the appellant went on to a house called ""Aniryss"" at Thunder Hill (offence 7). He took a Volvo from outside that house. The Volvo had a Tracker fitted which enabled the police to work out where he was. He drove the vehicle into a police car, got out and ran away (offences 10, 12 and 13). He was seen by an off-duty police officer who managed to trap him in a garage. The appellant assaulted the police officer with intent to resist arrest by picking up a trowel which was in the garage and hitting the officer in the face with it (offence 11).;

Comment: Male & Female","Exact: Mr and Mrs Chowdhery.;

Comment: 2 Individual Victims, 1 male, 1 female","Exact: Mr and Mrs Chowdhery;

Comment: Male & Female","Exact: L.;

Comment: 1 individual female victim","Exact: young woman called L;

Comment: All Female","Exact: SJ, JC and CS.;

Comment: 3 individual male victims","Exact: teenage boys;

Comment: All Male","Exact: Fiza Asif (Arshad's wife).;

Comment: 1 individual victim, relative","Exact: Fiza Asif (Arshad's wife);

Comment: All Female",Don't know,N/A,"Exact: At that time she was nearly 16,;

Comment: 1 individual female victim","Exact: Karen Price;

Comment: All Female","Exact: threatened a security guard;

Comment: 1 individual male victim, stranger;

Exact: attacked the shopkeeper;

Comment: 1 individual male victim, stranger","Exact: him;

Comment: All Male","Exact: ""L"";

Comment: Both female.","Exact: K"" and the victim of the assault by beating was her seven-year-old daughter ""L"";

Comment: All Female",NA,N/A,NA,NA,Don't know,N/A,"Exact: Jordan Campbell was the applicant's half-brother.;

Comment: 1 individual victim","Exact: Jordan Campbell;

Comment: All Male"
VicAgeOffence Victim(s) Age at Time of Offence,Numeric,VicAgeOffence,NA,Don't know,NA,NA,NA,N/A,"Exact: 11 year-old daughter;

Comment: 1 individual female","Exact: 11 year-old;

Comment: 11",Don't know,N/A,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't Know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Married,Don't know,N/A,"Exact: At that time she was nearly 16,;

Comment: 1 individual female victim","Exact: nearly 16;

Comment: 15",Don't know,Don't know,"Exact: L, aged seven;

Comment: ","Exact: seven-year-old daughter;

Comment: 7",NA,N/A,NA,NA,Don't know,N/A,Don't know,Don't know
VicJobOffence Victim(s) Employment Status at Time of Offence,Employed/Unemployed/Student/Retired/Other/Don’t know,VicJobOffence,NA,Don't know,NA,NA,NA,N/A,Don't know,Other (child),Don't know,N/A,Don't know,Don't know,Don't know,Don't know,"Exact: hitting the officer in the face;

Comment: Victim3: 1 individual male police officer","Exact: ran a business called R;

Comment: Self-employed",Don't Know,Don't know,Don't know,Don't know,"Exact: the boys whom the applicant employed were SJ, JC and CS.;

Comment: Employed in coach company","Exact: teenage boys;

Comment: Student",Don't know,Married,Don't know,N/A,"Exact: Karen Price and D were absconders;

Comment: Unemployed",-,"Exact: threatened a security guard;

Comment: 1 individual male victim, stranger;

Exact: attacked the shopkeeper;

Comment: 1 individual male victim, stranger","Exact: shopkeeper;

Comment: Employed",NA,Don't know,NA,N/A,Don’t know,Don’t know,Don't know,N/A,Don't know,Don't know
VicRelsOffence Victim(s) Relationship Status at Time of Offence,Single/Married/Relationship/Don’t know,VicRelsOffence,NA,Don't know,NA,NA,NA,N/A,Don't know,Single,Don't know,N/A,Don't know,Don't know,"Exact: Mr Chris Walls, and his partner, Louise Gallagher;

Comment: 2 individual victims 1 male 1 female","Exact: his partner;

Comment: Relationship",Don't know,Don't know,"Exact: Mr and Mrs Chowdhery.;

Comment: 2 Individual Victims, 1 male, 1 female","Exact: couple, Mr and Mrs Chowdhery.;

Comment: Married",Don't know,Don't know,Don't know,Don't know,"Exact: Fiza Asif (Arshad's wife).;

Comment: 1 individual victim, relative","Exact: Fiza Asif (Arshad's wife;

Comment: Married",Don't know,N/A,Don't know,-,Don't know,Don't know,NA,"Exact: had been living with the offender;

Comment: Relationship",NA,N/A,Don’t know,Don’t know,Don't know,N/A,Don't know,Don't know
VicDependsOffence Victim(s) Dependant Status at Time of Offence,Had children/Did not have children/Don’t know,VicDependsOffence,NA,Don't know,NA,NA,NA,N/A,Don't know,Did not have children,Don't know,N/A,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,"Exact: their daughter's safety.;

Comment: ","Exact: their daughter's safety.;

Comment: Had children",Don't know,Don't know,Don't know,Don't know,"Exact: deceased's youngest child.;

Comment: Had children","Exact: deceased's youngest child;

Comment: Had children",Don't know,N/A,Don't know,-,Don't know,Don't know,"Exact: seven-year-old daughter;

Comment: ","Exact: seven-year-old daughter;

Comment: Had children",NA,N/A,Don’t know,Don’t know,Don't know,N/A,Don't know,Don't know
VicHomeOffence Victim(s) Accommodation Status at Time of Offence,Had fixed address/Homeless/Temporary accommodation/Don’t know,VicHomeOffence,NA,Don't know,NA,NA,NA,N/A,Don't know,Don't know,Don't know,N/A,Don't know,Don't know,"Exact: he got home;

Comment: Fixed address",Don't know,"Exact: her house;

Comment: Victim 1:Fixed address","Exact: ynne O'Connell, who ran a business called RSVP from her home,;

Comment: Had fixed address","Exact: lived on the same estate as the appellant.;

Comment: ","Exact: Chowdherys and on the gate itself.;

Comment: Fixed address",Don't know,Don't know,"Exact: applicant was also in loco parentis towards SJ for some years while he was living with SJ's mother.;

Comment: Fixed address",Don't know,"Exact: address in Palmerston Road, Walthamstow;

Comment: Fixed address","Exact: The appellant and Arshad lived at an address in Palmerston Road, Walthamstow together with the deceased and other family members;

Comment: Fixed address",Don't know,N/A,Don't know,-,Don't know,Don't know,"Exact: living with the offender since August 2017 at his flat;

Comment: Has fixed address.","Exact: K had been living with the offender;

Comment: Fixed address",NA,N/A,Don’t know,Don’t know,Don't know,N/A,Don't know,Don't know
VicMentalOffence Victim(s) Mental Health at Time of Offence,Had mental health problems/Has learning difficulties/Other/Don’t know,VicMentalOffence,NA,Don't know,NA,NA,NA,N/A,Don't know,Don't know,Don't know,N/A,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't Know,Don't know,Don't know,Don't know,,Don't know,Don't know,Married,Don't know,N/A,Don't know,-,Don't know,Don't know,"Exact: He spoke of suffering from depression, stress and anxiety. He had previously been prescribed anti-depressants.;

Comment: ",Don't know,NA,N/A,Don’t know,Don’t know,Don't know,N/A,Don't know,Don't know
VicIntoxOffence Was Victim Intoxicated at Time of Offence?,Yes-drinking/Yes-drugs/Yes-drinking&drugs/No/Don’t know,VicIntoxOffence,NA,Don't know,NA,NA,NA,N/A,Don't know,Don't know,"Exact: had a pint of lager in another public house;

Comment: ","Exact: having had a pint of lager in another public house.;

Comment: Yes - drinking",Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't Know,Don't know,"Exact: Both the appellant and L had been drinking heavily.;

Comment: ","Exact: Both the appellant and L had been drinking heavily;

Comment: Yes - drinking",,Don't know,Don't know,Married,Don't know,N/A,"Exact: an account of glue-sniffing, drug-taking;

Comment: ",-,Don't know,Don't know,"Exact: Both adults had been drinking alcohol.;

Comment: ","Exact: Both adults had been drinking alcohol;

Comment: Yes - drinking",NA,N/A,Don’t know,Don’t know,Don't know,N/A,"Exact: alcohol, cannabis and cocaine were consumed.;

Comment: ","Exact: alcohol, cannabis and cocaine were consumed;

Comment: Yes - drinking & drugs"
ProsEvidTypeTrial Which Types of Evidence Did Prosecution Present at Trial?,"EG. CCTV, Victim testimony, Identification line-up, Eye-witness testimony, Police testimony, Expert report/testimony, Cross-admissibility of counts, Victim is credible, Offender has bad character, Fingerprint match, Testimony of co-accused, Offender took victim property, Submission of ‘no case to answer’, DNA match, Digital forensic evidence, XXX",ProsEvidTypeTrial,NA,Don't know,"Exact: was looking out of his office window,;

Comment: Eye-witness testimony","Exact: was looking out of his office window, saw condoms and sewage floating down the river Crouch;

Comment: Eye-witness testimony","Exact: The evidence was that of a Mr Vernells. He gave factual evidence in relation to the discs which were seized, but he also gave expert evidence to this extent.;

Comment: Expert report/testimony, eye-witness testimony","Exact: gave expert evidence to this extent;

Comment: Expert testimony;

Exact: compact discs from the appellant Wakefield at the Bionic Records store at the Reading Festival. Having looked at those, he was suspicious as to their authenticity and he seized the stock on the stall;

Comment: Seized items","Exact: It is common ground that the wording of the order went beyond that which is permissible under section 39. The leading authority is ex parte Godwin [1992] 1 QB 190.;

Comment: Wording of the order","Exact: result of further e-mails between S and L;

Comment: E-mails;

Exact: police had seized two computers belonging to S;

Comment: Personal comupters","Exact: independent witness;

Comment: Eye-witness testimony;

Exact: The prosecution case was of a wholly unprovoked attack.;

Comment: Victim testimony","Exact: here was a small amount of medical evidence resulting from the complainant's hospitalisation. It took the form of a diagnosis of more than one fracture to both sides of the jaw, but it did not proffer a view as to causation;

Comment: Medical evidence;

Exact: Mr Hanson. He was described by the prosecution as a sober and independent witness, a view with which it is difficult to disagree. He said that a point had come when he had heard a glass break. He added:;

Comment: Eye-witness testimony;

Exact: The evidence of Mr Wheatcroft was that he had gone to the Dog and Partridge, having had a pint of lager in another public house. The Dog and Partridge was quiet at that time of the evening. There were only ten or a dozen people in the bar. He bought a pint of lager. He saw the appellant there. Mr Wheatcroft stated that he spoke to a woman with whom he was acquainted about some roofing felt that he had supplied. He then said to the appellant, ""Are you all right?"" which produced the response, ""Get out of my fucking face"". He said that the appellant was very aggressive, that he, the complainant, then went towards the bar and as he turned round the appellant was just behind him. The appellant punched him in the face. That was all that he, the complainant, could remember. He said he must have passed out. An ambulance came and he was taken to hospital.;

Comment: Victim testimony","Exact: important evidence linking all four appellants.;

Comment: Ellis Appeal;

Exact: Ashley Kenton and Wayne Mowatt were shot dead.;

Comment: 2 individual male victims in Ellis Appeal;

Exact: undisputed evidence from a detective officer;

Comment: Police testimony","Exact: The hooded top found in Ellis’ garden bore two particles of firearm discharge residue, one from the front and left sleeve containing primer residue of lead, barium and antimony, with a low level silicone, and the second, from the right front and sleeve, also containing lead, barium, antimony, as well as tin with a low level silicone. The leg area of the jeans yielded one particle of prima residue of lead, barium and antimony with a low level of silicone. There was a trace of nitro-glycerine from the right of the hooded top. This evidence did not prove directly that the residues found on the clothes must have come from the shooting outside Uniseven on 2nd January. It was however consistent with it, and it was, of course, open to the jury to consider whether any inferences should properly be drawn from the additional fact that the hooded top and jeans were not found where they would normally be, in their owner’s house rather than the garden.;

Comment: Firearm discharge residue on clothing;

Exact: The top was closely linked by DNA evidence to Ellis;

Comment: DNA evidence;

Exact: A taxi firm regularly collected a fare from Ryland Street, and took the individual to an address where Gregory’s girlfriend lived. There was contact by phone 819 on 31st December. There was additional evidence linking 819 to Michael Gregory, but the details need no recitation.;

Comment: Taxi records;

Exact: A good deal of material relating to telephone evidence and telephone cell sites was available;

Comment: Telephone evidence;

Exact: CCTV;

Comment: CCTV;

Exact: 23 x 9 MM cartridges were recovered;

Comment: Recovered gun cartridges;

Exact: . Sophie Ellis was present at the nightclub. It was announced that there would be an “after party” at Uniseven. She went there with others. Inside Uniseven it became very hot. She saw a car drive past slowly, which she thought was a burgundy coloured car and for a split second she saw two guns, which looked the same, and were pointed out of the window of the car. She was shot and fell to the ground.;

Comment: Eyewitness testimony","Exact: The head wound was closed under local anaesthetic with six stitches.;

Comment: Victim testimony","Exact: orensic examination revealed blood splattering next to the bed. Mr Wall suffered a 3-centimetre laceration to the left side of the head behind the left ear, a black eye, and bruising and tenderness beneath the left eye. There was also an area of swelling and bruising, between 3 centimetres and 6 centimetres in length, to his left forearm, which appeared to be a defensive injury. The head wound was closed under local anaesthetic with six stitches. There was no further evidence available to the sentencing judge concerning the impact of the offence on the victim.;

Comment: Medical report","Exact: A postman saw the appellant behaving oddly. The vehicle was found;

Comment: Eye-witness testimony;

Exact: A postman saw the appellant behaving oddly.;

Comment: Eye-witness testimony","Exact: The print-out from the DVLC came back as ""no trace"", despite his having had six penalty points imposed on him in respect of a previous offence of driving without insurance.;

Comment: ","Exact: to the police they had become the target of racist abuse and harassment during 2007;

Comment: Victim Testimony","Exact: form of stickers being placed on a lamppost immediately adjacent and near to the back gate of the Chowdherys and on the gate itself.;

Comment: Racist stickers;

Exact: harassment;

Comment: Victim testimony","Exact: In addition to the factual evidence of witnesses who were present in the early hours of 4 March, at trial there was also expert evidence to assist the jury.;

Comment: Eye-witness testimony, expert evidence","Exact: psychological evidence;

Comment: Psychological evidence;

Exact: DNA evidence;

Comment: DNA evidence;

Exact: expert evidence to assist the jury. First, a Dr Morgan examined both the appellant and L and gave written evidence about the marks which he found on their bodies;

Comment: Expert testimony;

Exact: Jamie Dean, saw the appellant and L when they arrived and subsequently heard some angry exchanges between them. He recalls L leaving the flat and subsequently coming back to look for her mobile telephone.;

Comment: Eye-witness testimony;

Exact: ""Emily said it was [L's first name] and she sounded quite muffled and upset. ‘Emily please, I need help, I need help’. I could hear a man's voice shouting very angrily, 'open the door, let me in'. She was telling him to fuck off, leave her alone, calling him a freak. Her tone of voice was terrified. She said the man was telling her to open the door. When I first started speaking she said 'I think he is coming to get me.' She thought there were people there. He would not let her leave. I told her to leave, and if she found out where she was, I would pick her up. She said she had already tried to leave and he had put her in the room..."";

Comment: Victim testimony","Exact: JC made allegations of sexual abuse;

Comment: Victim testimony","Exact: SJ made allegations of sexual abuse against the applicant;

Comment: Victim testimony","Exact: The prosecution's case was that the appellant was responsible for murdering the deceased.;

Comment: ","Exact: The appellant was alone with the deceased minutes before the fire was seen by a neighbour.;

Comment: ;

Exact: Cell site evidence put the appellant in the vicinity of the house very shortly before the fire started;

Comment: ;

Exact: (d) Although the appellant's case at trial was that he had bought petrol because the deceased wanted him to fix the children's motorbike in the garden, there was already petrol in the motorbike. The quantity bought by the appellant on the day of the murder was too much for the motorbike.;

Comment: ;

Exact: petrol can seen on CCTV was found close to the victim's burnt body.;

Comment: CCTV;

Exact: 12. We turn to the disputed evidence. Mohammed Tahir was an acquaintance of the appellant and his brother. On 11 January 2011, following the death of the deceased, he spoke to the police but he refused to make a statement. He said that he was concerned for his safety and that of his family. In March 2011 he disclosed that in 2007 the appellant had discussed with his brother killing Fiza Asif. He put those allegations in a letter, but refused to make a witness statement on account of fear. Eventually, on 30 November 2011 he signed a witness statement. By that time the appellant was in custody, having been charged with murder.;

Comment: Witness statement;

Exact: As to expert evidence, the Crown called Dr Swift, a forensic pathologist, and Professor Myers, a burns expert. The defence called Dr Davison, a pathologist. They all agreed that the definitive cause of death was unascertained.;

Comment: Expert testimony;

Exact: circumstantial evidence;

Comment: ","Exact: Two undercover police officers, “Ray” and “Simon”;

Comment: Police testimony","Exact: undercover officers, who worked separately, was that after completing each deployment with any of the defendants, and as soon as possible thereafter, they wrote up their recollections in their evidence books;

Comment: Police testimony;

Exact: The many conversations and meetings which took place during the ensuing 11 months were covertly recorded and the transcripts of these recordings became the central evidence in the case against the appellants.;

Comment: Recordings of conversations","Exact: case against Charlton was the evidence of a woman we shall call D. Against Ali, the prosecution relied on his various confessions and admissions.;

Comment: Eye-witness, confessions and admissions;

Exact: facial reconstruction artist;

Comment: Victim identification","Exact: Jane R gave a total of four statements.;

Comment: Eyewitness;

Exact: Elizabeth Williams made four statements.;

Comment: Eyewitness;

Exact: A few days later she and KP went with Charlton and Ali to the same room at 29 Fitzhamon Embankment. There was more glue sniffing. Charlton asked her and KP to get on the bed naked to pose for photos. D refused and Charlton slapped her face. KP intervened; he turned on her and punched and slapped her till she fell. Ali tried to pull Charlton off but he kept on hitting KP. D was too scared to watch. When Charlton stopped there was blood from KP’s mouth and she did not respond. Charlton said she was dead. He put her on the bed, went out and returned with what looked like white curtain wire. He turned KP over, tied her hands and put a carrier bag over her head. He removed her pants and had sex with her. He told Ali to do the same. Ali did but looked as if he wanted to be sick.12.Charlton then brought in what looked like a rug. Both Ali and Charlton lifted KP from the bed on to the rug and carried her outside. D was in the corner crying when both men returned after about ten minutes with dirty hands. Charlton warned D to say nothing or she would die the same way. Ali advised her to say nothing and seemed as scared as she was. She did not tell anyone because she was afraid. She did not see either Charlton or Ali again.;

Comment: Eyewitness testimony","Exact: Eyewitness and police evidence was largely agreed. The prosecution relied on the following circumstantial and expert evidence;

Comment: ","Exact: bad character evidence;

Comment: ;

Exact: prosecution imaging expert;

Comment: imaging expert;

Exact: bandana found at the appellant's home and a pair of gloves of the type purchased at Homebase;

Comment: Clothing from crime in appellant home;

Exact: CCTV footage of the robbery and the purchase of equipment in Homebase;

Comment: CCTV footage;

Exact: expert evidence;

Comment: Expert evidence;

Exact: Eyewitness;

Comment: Eyewitness","Exact: photographs;

Comment: ",,"Exact: made off without payment.;

Comment: Eye-witness testimony",,"Exact: Mr Little's submission that the circumstances here are very different from those of a religious confession.;

Comment: ",NA,Don't know,N/A,"Exact: set fire to his body and his head, using torn clothing.  They then tried to burn down the flat to destroy evidence;

Comment: ","Exact: One stab wound to the back caused death;

Comment: Expert report"
