Coding,Description,tag_name,[2003] EWCA Crim 3,[2003] EWCA Crim 2243,[2004] EWCA Crim 2278,[2005] EWCA Crim 1983,[2006] EWCA Crim 2916,[2006] EWCA Crim 694,[2006] EWCA Crim 1155,[2007] EWCA Crim 1530,[2008] EWCA Crim 553,[2009] EWCA Crim 1431,[2010] EWCA Crim 712,[2012] EWCA Crim 720,[2013] EWCA Crim 801,[2013] EWCA Crim 1649,[2016] EWCA Crim 52,[2017] EWCA Crim 1851,[2018] EWCA Crim 1766,[2019] EWCA Crim 362,[2020] EWCA Crim 499,[2022] EWCA Crim 83,[2023] EWCA Crim 231
VicAgeOffence Victim(s) Age at Time of Offence,Numeric,VicAgeOffence,NA,NA,NA,"Exact: 11 year-old;

 Comment: 11",,Don't know,Don't know,Don't know,Don't know,Don't Know,Don't know,Don't know,Don't know,Don't know,"Exact: nearly 16;

 Comment: 15",Don't know,"Exact: seven-year-old daughter;

 Comment: 7",NA,NA,Don't know,Don't know
VicJobOffence Victim(s) Employment Status at Time of Offence,Employed/Unemployed/Student/Retired/Other/Don’t know,VicJobOffence,NA,NA,NA,Don't know,,Don't know,Don't know,Don't know,"Exact: ran a business called R;

 Comment: Self-employed",Don't Know,Don't know,"Exact: teenage boys;

 Comment: Student",Don't know,Don't know,,"Exact: shopkeeper;

 Comment: Employed",NA,NA,Don’t know,Don't know,Don't know
VicRelsOffence Victim(s) Relationship Status at Time of Offence,Single/Married/Relationship/Don’t know,VicRelsOffence,NA,NA,NA,Don't know,,Don't know,Don't know,"Exact: his partner;

 Comment: Relationship",Don't know,"Exact: couple, Mr and Mrs Chowdhery.;

 Comment: Married",Don't know,Don't know,"Exact: Fiza Asif (Arshad's wife;

 Comment: Married",Don't know,Don't know,Don't know,"NA

Exact: had been living with the offender;

 Comment: Relationship",NA,Don’t know,Don't know,Don't know
VicDependsOffence Victim(s) Dependant Status at Time of Offence,Had children/Did not have children/Don’t know,VicDependsOffence,NA,NA,NA,Don't know,,Don't know,Don't know,Don't know,Don't know,"Exact: their daughter's safety.;

 Comment: Had children",Don't know,Don't know,"Exact: deceased's youngest child;

 Comment: Had children",Don't know,Don't know,Don't know,"Exact: seven-year-old daughter;

 Comment: Had children",NA,Don’t know,Don't know,Don't know
VicHomeOffence Victim(s) Accommodation Status at Time of Offence,Had fixed address/Homeless/Temporary accommodation/Don’t know,VicHomeOffence,NA,NA,NA,Don't know,,Don't know,Don't know,,"Exact: ynne O'Connell, who ran a business called RSVP from her home,;

 Comment: Had fixed address","Exact: Chowdherys and on the gate itself.;

 Comment: Fixed address",Don't know,,"Exact: The appellant and Arshad lived at an address in Palmerston Road, Walthamstow together with the deceased and other family members;

 Comment: Fixed address",Don't know,Don't know,Don't know,"Exact: K had been living with the offender;

 Comment: Fixed address",NA,Don’t know,Don't know,Don't know
VicMentalOffence Victim(s) Mental Health at Time of Offence,Had mental health problems/Has learning difficulties/Other/Don’t know,VicMentalOffence,NA,NA,NA,Don't know,,Don't know,Don't know,Don't know,Don't know,Don't Know,Don't know,,Don't know,Don't know,Don't know,Don't know,,NA,Don’t know,Don't know,Don't know
VicIntoxOffence Was Victim Intoxicated at Time of Offence?,Yes-drinking/Yes-drugs/Yes-drinking&drugs/No/Don’t know,VicIntoxOffence,NA,NA,NA,Don't know,,"Exact: having had a pint of lager in another public house.;

 Comment: Yes - drinking",Don't know,Don't know,Don't know,Don't Know,"Exact: Both the appellant and L had been drinking heavily;

 Comment: Yes - drinking",,Don't know,Don't know,,Don't know,"Exact: Both adults had been drinking alcohol;

 Comment: Yes - drinking",NA,Don’t know,Don't know,"Exact: alcohol, cannabis and cocaine were consumed;

 Comment: Yes - drinking & drugs"
ProsEvidTypeTrial Which Types of Evidence Did Prosecution Present at Trial?,"EG. CCTV, Victim testimony, Identification line-up, Eye-witness testimony, Police testimony, Expert report/testimony, Cross-admissibility of counts, Victim is credible, Offender has bad character, Fingerprint match, Testimony of co-accused, Offender took victim property, Submission of ‘no case to answer’, DNA match, Digital forensic evidence, XXX",ProsEvidTypeTrial,NA,"Exact: was looking out of his office window, saw condoms and sewage floating down the river Crouch;

 Comment: Eye-witness testimony","Exact: gave expert evidence to this extent;

 Comment: Expert testimony

Exact: compact discs from the appellant Wakefield at the Bionic Records store at the Reading Festival. Having looked at those, he was suspicious as to their authenticity and he seized the stock on the stall;

 Comment: Seized items","Exact: result of further e-mails between S and L;

 Comment: E-mails

Exact: police had seized two computers belonging to S;

 Comment: Personal comupters",,"Exact: here was a small amount of medical evidence resulting from the complainant's hospitalisation. It took the form of a diagnosis of more than one fracture to both sides of the jaw, but it did not proffer a view as to causation;

 Comment: Medical evidence

Exact: Mr Hanson. He was described by the prosecution as a sober and independent witness, a view with which it is difficult to disagree. He said that a point had come when he had heard a glass break. He added:;

 Comment: Eye-witness testimony

Exact: The evidence of Mr Wheatcroft was that he had gone to the Dog and Partridge, having had a pint of lager in another public house. The Dog and Partridge was quiet at that time of the evening. There were only ten or a dozen people in the bar. He bought a pint of lager. He saw the appellant there. Mr Wheatcroft stated that he spoke to a woman with whom he was acquainted about some roofing felt that he had supplied. He then said to the appellant, ""Are you all right?"" which produced the response, ""Get out of my fucking face"". He said that the appellant was very aggressive, that he, the complainant, then went towards the bar and as he turned round the appellant was just behind him. The appellant punched him in the face. That was all that he, the complainant, could remember. He said he must have passed out. An ambulance came and he was taken to hospital.;

 Comment: Victim testimony","Exact: The hooded top found in Ellis’ garden bore two particles of firearm discharge residue, one from the front and left sleeve containing primer residue of lead, barium and antimony, with a low level silicone, and the second, from the right front and sleeve, also containing lead, barium, antimony, as well as tin with a low level silicone. The leg area of the jeans yielded one particle of prima residue of lead, barium and antimony with a low level of silicone. There was a trace of nitro-glycerine from the right of the hooded top. This evidence did not prove directly that the residues found on the clothes must have come from the shooting outside Uniseven on 2nd January. It was however consistent with it, and it was, of course, open to the jury to consider whether any inferences should properly be drawn from the additional fact that the hooded top and jeans were not found where they would normally be, in their owner’s house rather than the garden.;

 Comment: Firearm discharge residue on clothing

Exact: The top was closely linked by DNA evidence to Ellis;

 Comment: DNA evidence

Exact: A taxi firm regularly collected a fare from Ryland Street, and took the individual to an address where Gregory’s girlfriend lived. There was contact by phone 819 on 31st December. There was additional evidence linking 819 to Michael Gregory, but the details need no recitation.;

 Comment: Taxi records

Exact: A good deal of material relating to telephone evidence and telephone cell sites was available;

 Comment: Telephone evidence

Exact: CCTV;

 Comment: CCTV

Exact: 23 x 9 MM cartridges were recovered;

 Comment: Recovered gun cartridges

Exact: . Sophie Ellis was present at the nightclub. It was announced that there would be an “after party” at Uniseven. She went there with others. Inside Uniseven it became very hot. She saw a car drive past slowly, which she thought was a burgundy coloured car and for a split second she saw two guns, which looked the same, and were pointed out of the window of the car. She was shot and fell to the ground.;

 Comment: Eyewitness testimony","Exact: orensic examination revealed blood splattering next to the bed. Mr Wall suffered a 3-centimetre laceration to the left side of the head behind the left ear, a black eye, and bruising and tenderness beneath the left eye. There was also an area of swelling and bruising, between 3 centimetres and 6 centimetres in length, to his left forearm, which appeared to be a defensive injury. The head wound was closed under local anaesthetic with six stitches. There was no further evidence available to the sentencing judge concerning the impact of the offence on the victim.;

 Comment: Medical report","Exact: The print-out from the DVLC came back as ""no trace"", despite his having had six penalty points imposed on him in respect of a previous offence of driving without insurance.;

 Comment: ","Exact: form of stickers being placed on a lamppost immediately adjacent and near to the back gate of the Chowdherys and on the gate itself.;

 Comment: Racist stickers

Exact: harassment;

 Comment: Victim testimony","Exact: psychological evidence;

 Comment: Psychological evidence

Exact: DNA evidence;

 Comment: DNA evidence

Exact: expert evidence to assist the jury. First, a Dr Morgan examined both the appellant and L and gave written evidence about the marks which he found on their bodies;

 Comment: Expert testimony

Exact: Jamie Dean, saw the appellant and L when they arrived and subsequently heard some angry exchanges between them. He recalls L leaving the flat and subsequently coming back to look for her mobile telephone.;

 Comment: Eye-witness testimony

Exact: ""Emily said it was [L's first name] and she sounded quite muffled and upset. ‘Emily please, I need help, I need help’. I could hear a man's voice shouting very angrily, 'open the door, let me in'. She was telling him to fuck off, leave her alone, calling him a freak. Her tone of voice was terrified. She said the man was telling her to open the door. When I first started speaking she said 'I think he is coming to get me.' She thought there were people there. He would not let her leave. I told her to leave, and if she found out where she was, I would pick her up. She said she had already tried to leave and he had put her in the room..."";

 Comment: Victim testimony","Exact: SJ made allegations of sexual abuse against the applicant;

 Comment: Victim testimony","Exact: The appellant was alone with the deceased minutes before the fire was seen by a neighbour.;

 Comment: 

Exact: Cell site evidence put the appellant in the vicinity of the house very shortly before the fire started;

 Comment: 

Exact: (d) Although the appellant's case at trial was that he had bought petrol because the deceased wanted him to fix the children's motorbike in the garden, there was already petrol in the motorbike. The quantity bought by the appellant on the day of the murder was too much for the motorbike.;

 Comment: 

Exact: petrol can seen on CCTV was found close to the victim's burnt body.;

 Comment: CCTV

Exact: 12. We turn to the disputed evidence. Mohammed Tahir was an acquaintance of the appellant and his brother. On 11 January 2011, following the death of the deceased, he spoke to the police but he refused to make a statement. He said that he was concerned for his safety and that of his family. In March 2011 he disclosed that in 2007 the appellant had discussed with his brother killing Fiza Asif. He put those allegations in a letter, but refused to make a witness statement on account of fear. Eventually, on 30 November 2011 he signed a witness statement. By that time the appellant was in custody, having been charged with murder.;

 Comment: Witness statement

Exact: As to expert evidence, the Crown called Dr Swift, a forensic pathologist, and Professor Myers, a burns expert. The defence called Dr Davison, a pathologist. They all agreed that the definitive cause of death was unascertained.;

 Comment: Expert testimony

Exact: circumstantial evidence;

 Comment: ","Exact: undercover officers, who worked separately, was that after completing each deployment with any of the defendants, and as soon as possible thereafter, they wrote up their recollections in their evidence books;

 Comment: Police testimony

Exact: The many conversations and meetings which took place during the ensuing 11 months were covertly recorded and the transcripts of these recordings became the central evidence in the case against the appellants.;

 Comment: Recordings of conversations","Exact: Jane R gave a total of four statements.;

 Comment: Eyewitness

Exact: Elizabeth Williams made four statements.;

 Comment: Eyewitness

Exact: A few days later she and KP went with Charlton and Ali to the same room at 29 Fitzhamon Embankment. There was more glue sniffing. Charlton asked her and KP to get on the bed naked to pose for photos. D refused and Charlton slapped her face. KP intervened; he turned on her and punched and slapped her till she fell. Ali tried to pull Charlton off but he kept on hitting KP. D was too scared to watch. When Charlton stopped there was blood from KP’s mouth and she did not respond. Charlton said she was dead. He put her on the bed, went out and returned with what looked like white curtain wire. He turned KP over, tied her hands and put a carrier bag over her head. He removed her pants and had sex with her. He told Ali to do the same. Ali did but looked as if he wanted to be sick.12.Charlton then brought in what looked like a rug. Both Ali and Charlton lifted KP from the bed on to the rug and carried her outside. D was in the corner crying when both men returned after about ten minutes with dirty hands. Charlton warned D to say nothing or she would die the same way. Ali advised her to say nothing and seemed as scared as she was. She did not tell anyone because she was afraid. She did not see either Charlton or Ali again.;

 Comment: Eyewitness testimony","Exact: bad character evidence;

 Comment: 

Exact: prosecution imaging expert;

 Comment: imaging expert

Exact: bandana found at the appellant's home and a pair of gloves of the type purchased at Homebase;

 Comment: Clothing from crime in appellant home

Exact: CCTV footage of the robbery and the purchase of equipment in Homebase;

 Comment: CCTV footage

Exact: expert evidence;

 Comment: Expert evidence

Exact: Eyewitness;

 Comment: Eyewitness",,,,Don't know,"Exact: One stab wound to the back caused death;

 Comment: Expert report"
DefEvidTypeTrial Which Types of Evidence Did Defence Present at Trial?,"EG. Offender denies offence, Offender claims to have alibi, No clothing found matching offender’s, No recovery of stolen goods from offender, Previous ruling in another court case, Consistency of offender evidence in court and at police interview, Offender of previous good character, Lack of DNA evidence to support allegations, Lack of medical evidence to support allegations, Victim is not credible/is unreliable, Question admissibility of some item of evidence, Offender admits only to lesser offence, Offender states co-accused is responsible for main offence, Offender argues he/she left scene before main offence committed, Offender uses bad character evidence against co-accused, ‘Cut-throat’ defence, XXX",DefEvidTypeTrial,NA,"Previous cases

Exact: no causative culpability. Because the de-threading of the bolt was an unforeseeable event, his client could not be faulted for failing to have taken steps to prevent it occurring. The offence was not a very serious example of a breach of section 85(3). It was of no economic effect on the public; its spatial and temporal effect was limited. The court should not treat every minor infringement of this legislation as if it was a major one.;

 Comment: ","Exact: believed that trading was permissible;

 Comment: Was not aware that trading the items was illegal",,,"Exact: had acted in self-defence;

 Comment: Acted in self-defence

Exact: Another witness, Ryan McCarron, was called on behalf of the defence;

 Comment: Eye-witness testimony",,"Exact: previous good character for the purposes of sentence;

 Comment: Offender of previous good character",,Don't Know,,"Exact: The records in question concerned SJ's misbehaviour at school on certain occasions.;

 Comment: ","Exact: He said that he left the house at Palmerston Road shortly before 20.21 hours.;

 Comment: Offender claims to have alibi

Exact: The appellant denied presence at the time she died;

 Comment: Offender denies offence",,"Exact: Fresh evidence suggested that KP might have died in 1982 not 1981;

 Comment: Victim was not killed in this crime

Exact: Charlton beat her to death, but that he (Ali) had not touched her until after her death;

 Comment: Offender states co-accused is responsible for main offence

Exact: Charlton’s defence was that he did not know KP or his co-accused or D and the prosecution could not prove the identification of the remains. He did not give evidence;

 Comment: Denied offense

Exact: After the conclusion of the final tape, PC Soden overheard Ali in conversation with two inmates awaiting a shower. Ali said that Charlton had made him do it – and that Charlton ‘was a psycho and would have done him if he hadn’t’;

 Comment: Police testimony","Exact: alibi;

 Comment: Alibi",,,,Don't know,
JuryInstruct Trial Judge Instructions to Jury,"EG. Are they “sure” defendant is the offender? Jury should only use particular evidence for a specific purpose, XXX",JuryInstruct,NA,NA,,NA,,,,NA,NA,,,Don't know,"Don't know

Exact: directed the jury;

 Comment: Reminder of witness credibility",,,"Exact: informed the jury of why they had heard the evidence of the appellant's previous conviction, warned them against prejudice and over-reliance, directed them that they were entitled to consider it when assessing the appellant's explanation and that it was for them to decide how much it assisted them;

 Comment: Warned jury against prejudice and over-reliance of evidence of previous convictions

Exact: The jury would be addressed by experienced counsel and would be properly directed as to the reliance they could place on the conviction.;

 Comment: ",NA,NA,,Don't know,Don't know
"Did Trial Judge Hold VoirDire? 
If YES, What was Outcome? VoirDireOutcome","Yes/No
If YES, judge ruled evidence admissible/Judge ruled evidence inadmissible",VoirDire,NA,No,No,No,,No,Don't know,No,No,No,Don't know,,"Don't know

Exact: voir dire;

 Comment: Yes",Don't know,,Don't know,NA,No,NO,Don't know,No
,,VoirDireOutcome,NA,NA,NA,NA,,NA,Don't know,NA,NA,NA,NA,,"NA

Exact: admissible;

 Comment: ",NA,,NA,NA,NA,NA,NA,NA
PreSentReport Pre-sentence Report Assessment Presented to Sentencing Court,Low/Medium/High risk of reoffending/Don’t know,PreSentReport,NA,NA,No,No,,Don't know,Don't know,"Exact: The court had a pre-sentence report in which the author said that the use of a weapon and the premeditation involved were both aggravating factors, as indeed they were. But he nevertheless identified the offender as having a low risk of reoffending and recommended a community order;

 Comment: Low risk of reoffending","Exact: pre-sentence report;

 Comment: Don't know",Don't Know,Don't know,Don't know,,Don't know,Don't know,Don't know,"Exact: medium risk of re-offending and a medium risk of harm in the form of physical violence to women with whom he was in an intimate relationship;

 Comment: Medium risk of reoffending

Exact: pre-sentence report in respect of the offender.;

 Comment: 

Exact: pre-sentence report;

 Comment: ","Exact: pre-sentence report referred to the appellant's emotional, behavioural and social difficulties and vulnerability to negative peer pressure. It recommended a community order, but counsel realistically acknowledged that a custodial sentence was inevitable;

 Comment: ",Don’t know,Don't know,Don't know
AggFactSent What Aggravating Factors did Court Consider When Sentencing?,"EG. Offender had previous (relevant) convictions, Offender showed no remorse, Offence committed on while offender was on bail, Offence committed while offender was on licence, Offender failed to comply with court orders, Offender not emphatic to victim empathy, Victim was vulnerable, Offender was intoxicated with drink, Offender was intoxicated with drugs, Offender was intoxicated with drinks&drugs, Offence was committed in public, Sustained nature of offence, Offender continued with offence even after intervention by others, XXX",AggFactSent,NA,"Exact: he judge described the appellant’s failure as grossly irresponsible.;

 Comment: AggFactSent",NA,NA,,"Don't know

Exact: The appellant's account was that he had had one pint of lager;

 Comment: Offender was intoxicated with drinks

Exact: The previous convictions were adduced before the jury by a police officer, Detective Sergeant Dale. He had no personal knowledge of any of the previous offences and what he was able to impart to the court came entirely from the Police National Computer. He referred to a conviction before the Wigan Magistrates in 1992 for common assault. He said that the print-out from the computer stated that the appellant had been asked to leave a shop and had punched a 22 year old to the face resulting in cuts and bruising. The second conviction was in 1995 at Abergavenny Magistrates' Court and according to Sergeant Dale concerned the use of a pool cue to hit the complainant. He then referred to a conviction in 1997 in the Wigan Magistrates' Court for threatening behaviour, adding that the facts were reported as being a punch by the defendant to an unknown male and abuse to police officers. The most recent conviction was in 2004, again in the Wigan Magistrates' Court, for common assault, the allegation being that the appellant had struck a 14 year old male in a shop.;

 Comment: Previous relevant convictions 

Exact: prosecution case was of a wholly unprovoked attack;

 Comment: Unprovoked attack","Exact: beginning with the appellant’s departure from this country shortly after the killing, to Jamaica, a;

 Comment: Fled country

Exact: fter arrest the four appellants were interviewed. Martin denied any involvement in the offences, and offered an alibi. He told untruths about his link with the Vectra which had travelled to Northampton, and the purchase of the red Mondeo. In general terms, Gregory declined to answer any questions, stating that he did not want to remember where he had been at the New Year because of the death of his brother. Ellis denied involvement, and at first exercised his right of silence. When he was later interviewed, he denied any involvement with the red Mondeo, and at a subsequent interview, claimed that gunshot residue found on his clothing had come from fireworks or through other innocent contact. As to the telephone calls, he claimed that it was impossible for him so long after the events to recollect any specific details. However he did not believe that his phone had been in anyone else’s possession. In his interviews, Simms effectively made no comment, but on the last occasion when he was interviewed he denied any involvement in the shooting or in the obtaining of the red Mondeo. He admitted that he was present at Uniseven at the material time, along with several members of his family, who he would not have endangered. He agreed that the phone 845 was his telephone, and asserted that he had received telephone calls while at Uniseven from different people asking him about the quality of the music, but as the music was loud there were several missed calls. In view of the lapse of time, he could not remember any other details. In due course alibi notices were served by Martin, Gregory and Ellis.;

 Comment: ","Exact: he assaulted him whilst he was asleep;

 Comment: Assaulted him whist he was asleep

Exact: he entered the victim's house at night as a trespasser;

 Comment: Entered the victim's house at night as a trespasser

Exact: First, the offender deliberately armed himself with a weapon;

 Comment: Offender deliberately armed himself with a weapon","Exact: He has previous convictions for taking a vehicle without consent and other driving offences in April 2006 for which he received a four months' referral order;

 Comment: ","Exact: There is a record of convictions going back to 1995. In August 1995 he was sent to prison for 4 year for various offences of robbery and attempted robbery. In 1999 he was before the court for possessing an offensive weapons in public. In 2001 he was before the Grimsby and Cleethorpe Magistrates for having an article with a blade. Later the same year he was before the Great Grimsby Crown Court for possessing written material which was threatening, abusive or insulting and he received a sentence of imprisonment of 12 months.;

 Comment: Offender had previous (relevant) convictions",Don't know,"Don't know

Exact: teenage boys;

 Comment: Victim was vulnerable (underage)","Don't know

Exact: . He was told that if Tahir gave evidence all his family would be ""disturbed and crushed"". D;

 Comment: 

Exact: male on a motorcycle had attended Tahir's home in Pakistan and threatened his family if Tahir were to give evidence;

 Comment: 

Exact: further threat was made to Tahir's wife;

 Comment: 

Exact: he appellant lied in saying that he had not bought petrol on 4 January 2011.;

 Comment: Appellant lied",Don't know,"Don't know

Exact: iii) Charlton’s gardening activities over the site of the grave and any proven lies in his interview;;

 Comment: Lied in interviews

Exact: glue-sniffing and prostitution.;

 Comment: 

Exact: He consistently denied any part in KP’s death.;

 Comment: 

Exact: Charlton warned D to say nothing or she would die the same way;

 Comment: 

Exact: had sex with her;

 Comment: ","Exact: The offence had taken place on 8th April, when he and another man had threatened a security guard and stolen a cash box containing £14,500. The robbers had been masked, armed with a sword, and they had made off in a waiting car.;

 Comment: Previous conviction

Exact: The appellant's previous conviction for robbery;

 Comment: Previous conviction

Exact: refused in his interview to say where he had been at the time of the robbery;

 Comment: 

Exact: Evidence that the appellant bought gloves of the exact make and type used by robber 2, using cash passed to him by Baines, and that shortly afterwards Baines bought the axe used in the robbery.;

 Comment: Planning

Exact: axes;

 Comment: Use of a weapon to frighten or injure victim

Exact: £1,000 in cash;

 Comment: ","Exact: there was the ongoing effect on the victims who had been forced to leave their home;

 Comment: 

Exact: he violence had been inflicted in the victim's home;

 Comment: 

Exact: he offender had an antecedent history of eight previous convictions imposed on six previous occasions since 2007 when he was 16 years old. He had convictions for burglary, public order and possession of class A drug offences. Materially, in 2009 he pleaded guilty to two counts of battery and one count of criminal damage for which he was sentenced to a 12-month community order. The victim was his mother. In 2015 he pleaded guilty to an offence of assault occasioning actual bodily harm for which he was sentenced to a term of nine months' imprisonment. That offence had involved violence against another man who had been accused by a former partner.;

 Comment: Previous offences

Exact: The offender told L, aged seven, to collect her things,;

 Comment: presence of others

Exact: The offender's sons saw what took place from their open bedroom doorway;

 Comment: Vulnerable witness

Exact: grabbed her by the hair and threw her into the bedroom;

 Comment: Vulnerable victim","Exact: previous convictions aggravated;

 Comment: ",NA,Don't know,"Exact: lcohol, cannabis and cocaine were consumed;

 Comment: Offender was intoxicated with drinks & drugs"
MitFactSent What Mitigating Factors did Court Consider When Sentencing?,"EG. Offender showed (genuine) remorse, Offender was ashamed, Offender was of previous good character/offence out of character, Testimonial by employer, Testimonial by personal-partner, Offender has no (relevant) previous convictions, Offender voluntarily sought counselling, Offender voluntarily stopped drinking/determined to address alcohol addiction, Offender voluntarily stopped taking drugs/determined to address drug addiction, Offender has serious medical condition, Offender has mental disorder/learning disability (not linked to commission of offence), Offender experienced ‘bad patch’ in life, Offender age/lack of maturity affecting responsibility, Offender sole/primary carer for dependant relatives, Lapse of time/Long delay before prosecution not fault of offender, XXX",MitFactSent,NA,"Exact: The river had recovered 24 hours later and this was due to the prompt remedial action taken by the appellant;

 Comment: MitFactSent",NA,NA,,Don't know,Don't know,"Exact: the offender is of effective previous good character;

 Comment: 

Exact: that no permanent injury appears to have been occasioned to the victim;

 Comment: 

Exact: his real remorse;

 Comment: 

Exact: his early plea of guilty;

 Comment: Early plea of guilt","Exact: Because of the appellant's youth;

 Comment: 

Exact: He had never received a custodial sentence;

 Comment: ",,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,"Exact: His distress throughout interview was ""quite evident"".;

 Comment: Genuine remorse","Exact: the pleas of guilty;

 Comment: plead guilty

Exact: he appellant's young age;

 Comment: young age

Exact: which diagnosed a learning disability with an IQ of less than 70, and the report of an intermediary.;

 Comment: mental illness or disability

Exact: it being a stun gun, it was not a lethal weapon; that it did not belong to the appellant and he was never in physical possession of it; that his legal possession of it was of a technical nature because it was in his car; that in any event the possession was of short duration; that the appellant had had no intention to possess or use it in the future; and that he had no previous convictions for offences relating to weapons or violence;

 Comment: ",,Don't know,
VicImpactStatement Was Victim Impact Statement Given at Original Sentencing?,Yes/No/Don’t know,VicImpactStatement,NA,NA,No,No,,Don't know,,No,No,,Don't know,Don't know,No,No,Don't know,Don't know,"Exact: K made a victim personal statement dated 15 March 2018 which she read to the court;

 Comment: Yes",NA,Don’t know,No,No
"Who is Appellant?
If Offender is Appellant, Were There any Co-defendants/co-accused in Case? 

If YES, how many? CoDefAccNum","Offender/Attorney General/Other
N/A/Yes/No

If YES, numeric",Appellant,"Exact: MICHAEL JONES;

 Comment: ","Exact: Anglian Water Services Ltd;

 Comment: Anglian Water Services Ltd","Exact: MARK ANDREW PURSEGLOVE;

 Comment: 

Exact: MARK WAKEFIELD;

 Comment: ","Exact: three media companies pursuant;

 Comment: Other",,"Exact: ZANE ROY AINSCOUGH;

 Comment: Offender","Exact: Marcus Ellis, Michael Gregory and Nathan Martin;

 Comment: 

Exact: Iain Davis;

 Comment: ","Exact: The Attorney-General seeks leave;

 Comment: Attorney General","Exact: JAMES  IAN  McNEILL;

 Comment: Offender","Exact: NATHAN LUKE WORRELL;

 Comment: Offender","Exact: PAVLOS GEORGIOU KAZANTZIS;

 Comment: Offender","Exact: PF;

 Comment: Offender","Exact: ABDUL  JABBAR;

 Comment: Offender","Exact: Munir Ahmed Farooqi
            
              Matthew Newton
            
              Israr Hussain Malik;

 Comment: Offender","Exact: ALAN CHARLTON AND IDRIS ALI;

 Comment: Offender","Exact: appellant appeals;

 Comment: Offender","Exact: Solicitor General;

 Comment: General Counsel ","Exact: pplicant applies for leave to appeal in respect of the sentences imposed on him;

 Comment: Offender","Exact: NICHOLAS WARNER;

 Comment: ","Exact: RHYS MORAR;

 Comment: ","Exact: RUBEN  THOMAS  PATRICK  HOATHER;

 Comment: "
,,Co-defendants/co-accused,NA,NA,NA,NA,,No,,No,No,No,No,No,,,,,NA,No,NA,No,
,,CoDefAccNum,NA,NA,"NA

Exact: MARK WAKEFIELD AND MARK ANDREW PURSEGLOVE;

 Comment: 2

Exact: MARK WAKEFIELD AND MARK ANDREW PURSEGLOVE;

 Comment: 1","NA

Exact: two men, S and L;

 Comment: 1",,NA,"Exact: Marcus Ellis, Michael Gregory and Nathan Martin;

 Comment: 3",NA,NA,NA,NA,NA,"Exact: The appellant and his brother;

 Comment: 2","Don't know

Exact: Farooqi, Matthew Newton, Israr Malik and Harris Farooqi (Farooqi’s son);

 Comment: 4","Exact: ALAN CHARLTON AND IDRIS ALI;

 Comment: 1","Exact: A co-defendant, Matthew Baines;

 Comment: 1",NA,NA,NA,NA,"Exact: two co-accused;

 Comment: two co-accused"
AppealAgainst,"Conviction is unsafe/Sentence is unduly excessive/Sentence is unduly lenient/Both conviction is unsafe & sentence is unduly excessive/Other e.g., application for extension of time to appeal",AppealAgainst,,"Exact: the fine was manifestly excessive;

 Comment: excessive fine","Exact: They appeal against conviction with leave of the single judge;

 Comment: Appeal against conviction with leave of the single judge","Exact: against “any order restricting the publication of any report of the whole or any part of a trial on indictment or any such ancillary proceedings”. Such an application requires the leave of the Court of Appeal and section 159 provides that “the decision of the Court of Appeal shall be final”.;

 Comment: Restricted publication of trial reports",,"Exact: appeals against conviction by leave of the single judge;

 Comment: ","Exact: They appeal against conviction, with the leave of the court;

 Comment: 

Exact: He appeals against conviction with the leave of a single judge;

 Comment: ","Exact: Court on the ground that it is unduly lenient;

 Comment: Sentence is unduly lenient","Exact: On that basis the sentence of six months that he imposed for offence 10 was lawful as an individual sentence, but the Recorder could not lawfully pass an aggregate of more than six months for all the summary only offences. But he passed a sentence of two months in respect of offence 3 and a consecutive sentence of six months in respect of offence 8 (both being summary only offences). The result, therefore, was that the aggregate of the sentences imposed for the three summary only offences (offences 3, 8 and 10) was one of 14 months when the Recorder's power was limited to imposing an aggregate sentence of six months. Accordingly, before we consider the totality argument that has been raised on behalf of the appellant, we make the necessary adjustments to those sentences, to reduce the aggregate of them to no more than six months. That we would achieve by quashing the sentence of six months passed in respect of offence 8 and substituting one of two months, and quashing the sentence of six months passed in respect of offence 10 and substituting one of two months.;

 Comment: Sentence is unduly excessive

Exact: The application for leave to appeal against sentence has been referred to the full court by the Registrar. We give leave.;

 Comment: ","Exact: he relies on the well-known principle of totality.;

 Comment: 

Exact: that the sentences should be concurrent rather than consecutive;

 Comment: 

Exact: He submitted firstly that the 6 year sentence of imprisonment on count 2 was too long;

 Comment: Sentence is unduly excessive","Exact: unsafe;

 Comment: Conviction is unsafe","Exact: leave to appeal against conviction;

 Comment: ",,"Exact: summing up was flawed in consequence;

 Comment: Trial judge did not properly sum up the case

Exact: leave to appeal against sentence;

 Comment: Appeal against sentence as it is unduly excessive 

Exact: seek leave to appeal against their convictions;

 Comment: Appeal against conviction","Exact: convictions are unsafe.;

 Comment: ","Exact: appeals against his conviction on count 3 with the leave of the single judge;

 Comment: Against conviction with leave of single judge","Exact: unduly lenient;

 Comment: Sentence is unduly lenient",,"Exact: the appellant had not acted out of wilful defiance or disrespect to the court;

 Comment: Sentence is excessive","Exact: application for an extension of time of 670 days for leave to appeal sentence;

 Comment: Application for extension of time to appeal","Exact: application for an extension of time and for leave to appeal against his conviction;

 Comment: Application for extension of time and for leave to appeal"
